PCT,First Name,Last Name,Attendance,Votes Available Legend,"Remote Town
Meeting Vote","Article 1:
Reports","Consent
Agenda:
Articles 2-6","Article 7: A)
Appropriation
of Capital
Expeditures","Article 7: B)
Appropriation
of Capital
Expenditures","Article 8:
OPEB
Stabilization
Fund","Motion to
Terminate
Debate:
Discussion
on Article 9
Crockett
Amendment","Article 9
Crockett
Amendment:
FY21 Budget
Appropriation","Motion to
Terminate
Debate:
Discussion on
Article 9 Main
Motion","Aricle 9: FY21
Budget
Appropriation
Main Motion","Aricle 10: FY21
Community
Preservation
Committee
Budget and
Projects","Motion to
Terminate
Debate:
Discussion
on Article 11","Article 11:
Community
Preservation
Committee
Amend 2018
Appropriation
for Belmont
Housing","Article 12: Home
Rule Petition for
Special Act of the
Massachusetts
Legislature -
Remote
Participation of
Town Meeting"
7,Deborah,Lockett,"Here, with gusto!",,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Abstain,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor
7,Geoffrey,Lubien,"Here, with gusto!",,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,No / Opposed,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,Yes / In Favor,Yes / In Favor
8,Melissa,MacIntyre,Barely here...,,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,Yes / In Favor,Yes / In Favor,No / Opposed,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor
2,Peter,Magni,-,,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor
1,Anne Marie,Mahoney,"Here, with gusto!",,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor
4,Alon,Manela,"Here, with gusto!",,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Abstain,Yes / In Favor,No / Opposed,No / Opposed,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor
6,Gail,Mann,Here,,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor
1,ROBERT,MCGAW,"Here, with gusto!",,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor
2,Robert,McLaughlin,Here,,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor
7,Michael,McNamara,"Here, with gusto!",,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor
6,Lauren,Meier,Here,,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor
8,donald,mercier,Here,,Yes / In Favor,-,Yes / In Favor,No / Opposed,-,-,-,-,Yes / In Favor,-,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor
7,Benjamin,Meshoulam,"Here, with gusto!",,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor
4,William,Messenger,Here,,Yes / In Favor,Yes / In Favor,-,-,-,-,-,-,-,-,Yes / In Favor,Yes / In Favor,Yes / In Favor,-
1,Jeffrey,Miller,Here,,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,-,-,-,-,-,-
7,Glen,Mohr,Here,,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor
6,Jeanne,Mooney,"Here, with gusto!",,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor
3,Martha,Moore,-,,Yes / In Favor,Yes / In Favor,-,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor
2,Meghan,Moriarty,Here,,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,Yes / In Favor,Yes / In Favor,-,Yes / In Favor,Yes / In Favor,Yes / In Favor
8,Patrick,"Murphy, IV",Here,,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,-,Yes / In Favor,No / Opposed,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor
1,Holly,Muson,Here,,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor
7,Paul,Nelson,Here,,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor
2,Daniel,Nolan,"Here, with gusto!",,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor
3,Jill,Norton,"Here, with gusto!",,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,-,-,-,-
8,Dave,Nuscher,Here,,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor
4,John,O Connor,"Here, with gusto!",,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor
6,Katherine,Oates,Here,,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Abstain,Yes / In Favor
6,Linda,Oates,Here,,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor
1,Corinne,Olmsted,Here,,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,Abstain,Yes / In Favor,Abstain,Yes / In Favor,No / Opposed,Yes / In Favor
4,Rose,ONeil,Here,,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor
3,Lisa,Oteri,"Here, with gusto!",,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,Yes / In Favor
8,Mark,Paolillo,Here,,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor
1,Emily,Peterson,"Here, with gusto!",,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor
2,Elizabeth,Pew,Here,,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,Yes / In Favor,Yes / In Favor,Abstain,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor
6,Aaron,Pikcilingis,Here,,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,Yes / In Favor,Yes / In Favor,-,-,-,-
7,Stephen,Pinkerton,Here,,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,Yes / In Favor,Yes / In Favor,-,-,-,-
3,Martin,Plass,Here,,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor
8,Sonja,Plesset,Here,,Yes / In Favor,Yes / In Favor,-,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,-,Yes / In Favor,-,-,-,-
5,John,Pollock,Here,,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor
5,Lois J,Pollock,Here,,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor
6,Katherine,Poulin-Kerstien,Barely here...,,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor
4,David,Powelstock,"Here, with gusto!",,Yes / In Favor,Yes / In Favor,Yes / In Favor,-,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor
8,Lynn,Read,"Here, with gusto!",,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,No / Opposed,Yes / In Favor,Yes / In Favor,-,-,Yes / In Favor
8,Roger,Read,"Here, with gusto!",,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor
6,Jocelyn,Record,Here,,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,Yes / In Favor,No / Opposed,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor
4,Gitanjali,Rege,"Here, with gusto!",,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor
7,ALISON,RHODES,-,,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor
8,Ann,Rittenburg,Here,,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,-,Yes / In Favor,No / Opposed,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor
8,Paul,Roberts,"Here, with gusto!",,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,Yes / In Favor,-,-,-
2,John,Robotham,"Here, with gusto!",,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Abstain,Yes / In Favor,No / Opposed,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor
2,Suzanne,Robotham,Here,,Yes / In Favor,Yes / In Favor,-,Yes / In Favor,Yes / In Favor,Abstain,Yes / In Favor,No / Opposed,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor
8,Deborah,Rosales,Here,,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor
8,Stephen,Rosales,Here,,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,Yes / In Favor
7,Heather,Rubeski,"Here, with gusto!",,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,Yes / In Favor,No / Opposed,No / Opposed,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor
6,Brian,Saper,Here,,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor
3,Judith Anania,Sarno,Here,,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,Yes / In Favor
3,Robert,Sarno,Here,,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor
4,Ogden,Sawyer,"Here, with gusto!",,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,Yes / In Favor,No / Opposed,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor
2,Maryann,Scali,"Here, with gusto!",,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor
4,Elizabeth,Schmidt,Here,,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor
8,Ellen,Schreiber,"Here, with gusto!",,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor
7,Kimberley,Selness,"Here, with gusto!",,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,Yes / In Favor,Yes / In Favor,Yes / In Favor,-,-,-
5,Andrea,Serra Masciari,Here,,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,No / Opposed,No / Opposed,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor
6,elyse,shuster,Here,,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor
6,Judith,Singler,Here,,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor
6,Laurie,Slap,"Here, with gusto!",,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,No / Opposed,Yes / In Favor,Yes / In Favor,-,-,-,-
6,Michael,Smith,Here,,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,Yes / In Favor,Yes / In Favor,-,Yes / In Favor,No / Opposed,Yes / In Favor
7,Brett,Sorenson,"Here, with gusto!",,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor
